pair_id,stratum,snag_a,snag_b,text_a,text_b,nn_similarity,label,labeller
1,nn,49121,49123,R/H AFT EMERGENCY EXIT DOOR ASSY CRACKS IN FRAME INTERNALLY AFT OF WINDOW. RMVD AND RPLD AFT SEGMENT FRAME P/N D5227902620551 PO: 114987.4 AT RH AFT EMERGENCY EXIT DOOR ASSY IAW SRM 51-42-11.,L/H AFT EMERGENCY EXIT DOOR ASSY CRACKS IN FRAME INTERNALLY AFT OF WINDOW. RMVD AND RPLD AFT SEGMENT FRAME P/N D5227902620551 PO: 1145288.4 AT LH AFT EMERGENCY EXIT DOOR ASSY IAW SRM 51-42-11-001.,0.9971236584856464,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
2,nn,93182,29647,"FLT#2220, LHR-JFK. (ETOPS) (AIRCRAFT PERFORMED AN AIR RETURN TO LHR) ""AIR ENG 2 BLEED FAULT; FOUND FAN AIR VALVE ROD BROKEN REMOVED AND REPLACED FAN AIR VALVE REF AMM 36-11-54 ENG RUN OK NO FURTHER FAULTS NOTED A/C OK FOR SERVICE.""","FLT#2220, LHR-JFK. (ETOPS) ""DURING REMOVAL OF FAN AIR VALVE FOUND ""V"" BAND DAMAGED REF IPC 36-22-86-40 ITEM #340; REPLACED V BAND ON FAN AIR VALVE I/A/W 36-11-54 LEAK & OPS CHK OK A/C OK FOR SERVICE.""",0.8149272932047216,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
3,nn,73405,73403,AIRCRAFT WAS NOT GROUNDED: L4 DOOR SLIDE GIRT BAR MISSING RED HEAT SHRINK TUBING FORM AFT END. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).,AIRCRAFT WAS NOT GROUNDED: R4 DOOR SLIDE GIRT BAR MISSING RED HEAT SHRINK TUBING FORM AFT END. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).,0.9876601703369674,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
4,nn,101203,34742,(LOG 0592267) CORROSION ON FLOOR BEAM STA 947.5 AND RBL 48 AT W2 CPAX . FLOOR BEAM STA 947.5 AND RBL 48 AT W2 CPAX WAS REPAIRED PER B737-800 SRM 53-70-51-2R REP. 5.,"(LOG 0789637) CORROSION ON FLOOR BEAM STA 947.5 BTW RBL40 TO RBL 50 AT CPAX. FLOOR BEAM STA 947.5 BTW RBL40 TO RBL50 AT CPAX WAS REPAIRED PER B737-800 SRM 53-70-51-2R PROCEDURE 5, REPAIR 5.",0.9313759371338304,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
5,nn,52137,52138,FOUND EMERGENCY BATTERY PACK M1695 WILL NOT CHARGE<[01] REMOVED AND REPLACED EMERGENCY BATTERY PACK M1671 I.A.W AMM 33-51-06-960-802 OPS CHECKS:GOOD ATAG:WN46707;[02] C/W AUDIT C/W,FOUND EMERGENCY BATTERY PACK M1671 WILL NOT CHARGE<[01] REMOVED AND REPLACED EMERGENCY BATTERY PACK M1671 I.A.W AMM 33-51-06-960-802 OPS CHECKS:GOOD ATAG:WN46706;[02] C/W AUDIT C/W,0.9915853147753904,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
6,nn,98970,99120,FLIGHT LOCK SOLENOID OF AUTOMATIC EMERGENCY EXIT DOOR RT / FWD SIDE NO WORKING CORRECTLY. EMERGENCY EXIT DOOR RH / FWD SIDE SYSTEM TEST WAS PERFORMED PER B737-800 AMM 52-22-00. SATISFACTORY TEST OF THE SYSTEM EMERGENCY EXIT DOOR. FLIGHT LOCK SOLENOID OF AUTOMATIC EMERGENCY EXIT DOOR RH / FWD SIDE WORKS CORRECTLY.,FLIGHT LOCK SOLENOID OF AUTOMATIC EMERGENCY EXIT DOOR RH / FWD SIDE NOT WORKING CORRECTLY. OPEN,0.8362338445326131,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
7,nn,52382,153055,"DURING SERVICE CHECK, FOUND L1 AND R2 DOOR ASSIST BOTTLES LOW-SERVICED L1 AND R2 DOOR ASSIST BOTTLES IAW AMM 52-10-00.",DURING SERVICE CHECK FOUND L1 AND R2 DOOR ASSIST BOTTLES LOW-RESERVICED DOOR ASSIST BOTTLE IAW AMM 52-10-00,0.963452186893126,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
8,nn,128824,35821,AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANT REPORTS 1L DOOR CHECK DOOR PRESSURE MESSAGE DISPLAYED. MAINTENANCE SERVICED L1 DOOR DAMPER AND EMERGENCY OPERATION CYLINDER PER AMM 52-10-00.,"AIRCRAFT WAS NOT GROUNDED: ON FLIGHT ATTENDANTS SCREEN DISPLAY AT 1L, CHECK DOOR PRESSURE IN AMBER FOR THE 1L DOOR POSITION. MAINTENANCE SERVICED L1 DOOR DAMPER AND EMERGENCY OPERATION CYLINDER PER AMM 25-22-00.",0.9576142069123222,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
9,nn,32044,104406,PANEL BREAK AT BS 540 LBL 2 IS CRACKED<[01] REMOVED CRACKED PANEL BREAK AT BS 540 LBL 2 IAW SRM 51-40-02-0G-0. OBTAINED AND INSTALLED NEW PANEL BREAK AT BS 540 LBL 2 IAW SRM 51-40-02-0G-0 AND DRW 143A0060;[02] UPDATED MEASUREMENTS;[03] VERIFIED CORRECTIVE ACTION #1,CRACK PANEL BREAK AT THE MID CABIN BS 540 LBL 1<[01] REMOVED AND REPLACED PANEL BREAK AT BS 540; BL0-LBL24 IAW SRM 51-40-02-0G-0 AND DWG 143A0060;[02] COMPLETE,0.8770705011999009,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
10,nn,110096,101586,"PROBLEM DESCRIPTION: R1 DOOR EMERGENCY EXIT LIGHT INOP. CORRECTIVE ACTION & OTHER PERTINENT INFORMATION: R&R R/H EMERGENCY LIGHT BATTERY PACK OPS CHECK GOOD IAW B737 AMM 33-51-51, NO DEFECTS NOTED, THIS CLEARS DMI 73300123, ALL PLACARDS REMOVED",(LOG 6490212) DOOR R1 EMERGENCY LIGHT INOP. R/R R1 EMERGENCY BATTERY PACK (M2816) PER B737 AMM 33-51. OPS CHECK GOOD.,0.8570967486981514,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
